#EventID,Time,month,Latitude,Longitude,DepthInKm,Author,MagType,mag_range,Magnitude,EventLocationName,EventType
29297241,2021-12-24T11:13:09.700000,2021-12,40.0412,15.6465,8.9,BULLETIN-INGV,ML,'3-4,3,4 km SE Sapri (SA),earthquake
29299181,2021-12-24T12:53:15.210000,2021-12,44.3273,10.6423,8.4,BULLETIN-INGV,ML,'2-3,2.4,1 km NW Palagano (MO),earthquake
29306941,2021-12-24T23:59:57.330000,2021-12,47.3252,6.8722,8.7,BULLETIN-INGV,ML,'3-4,3.8,"Confine Svizzera-Francia (SVIZZERA, FRANCIA)",earthquake
29309531,2021-12-25T07:18:20.770000,2021-12,46.4838,16.2295,10,BULLETIN-INGV,ML,'3-4,3.6,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29309911,2021-12-25T07:39:06.540000,2021-12,42.4787,15.8728,10,BULLETIN-INGV,ML,'3-4,3.1,Adriatico Centrale (MARE),earthquake
29315901,2021-12-25T14:49:40.140000,2021-12,47.3705,6.8842,5.9,BULLETIN-INGV,ML,'3-4,3.3,"Confine Svizzera-Francia (SVIZZERA, FRANCIA)",earthquake
29316751,2021-12-25T15:42:38.220000,2021-12,37.8888,16.6207,36.9,BULLETIN-INGV,ML,'2-3,2.2,Mar Ionio Settentrionale (MARE),earthquake
29317701,2021-12-25T17:02:43.070000,2021-12,38.7098,13.1218,19.4,BULLETIN-INGV,ML,'3-4,3.4,Tirreno Meridionale (MARE),earthquake
29321191,2021-12-25T22:39:29.480000,2021-12,41.0457,14.9607,15.1,BULLETIN-INGV,ML,'2-3,2.3,3 km W Mirabella Eclano (AV),earthquake
29322411,2021-12-26T01:39:58.940000,2021-12,38.7108,14.1828,22.7,BULLETIN-INGV,ML,'2-3,2.5,Tirreno Meridionale (MARE),earthquake
29323171,2021-12-26T04:03:31.750000,2021-12,44.4067,10.7007,33.7,BULLETIN-INGV,ML,'2-3,2.1,3 km S Prignano sulla Secchia (MO),earthquake
29324551,2021-12-26T07:37:23.430000,2021-12,38.7258,15.6183,98.4,BULLETIN-INGV,ML,'2-3,2.1,Tirreno Meridionale (MARE),earthquake
29328521,2021-12-26T14:09:38.430000,2021-12,43.0878,13.366,20.9,BULLETIN-INGV,ML,'2-3,2.7,3 km W Sant'Angelo in Pontano (MC),earthquake
29332611,2021-12-27T02:50:48.950000,2021-12,43.0283,13.4988,23.8,BULLETIN-INGV,ML,'2-3,2,1 km N Santa Vittoria in Matenano (FM),earthquake
29332971,2021-12-27T03:23:08.230000,2021-12,43.5782,12.3842,8.5,BULLETIN-INGV,ML,'2-3,2.3,4 km NW Apecchio (PU),earthquake
29333551,2021-12-27T04:56:55.360000,2021-12,43.5788,12.3837,9.8,BULLETIN-INGV,ML,'2-3,2,4 km NW Apecchio (PU),earthquake
29333641,2021-12-27T05:03:04.450000,2021-12,45.8603,14.1982,7.1,BULLETIN-INGV,ML,'2-3,2.7,Slovenia (SLOVENIA),earthquake
29333851,2021-12-27T05:33:21.100000,2021-12,37.6282,15.2133,6.2,BULLETIN-INGV,ML,'2-3,2,Costa Catanese (Catania),earthquake
29336521,2021-12-27T12:19:14.090000,2021-12,40.7022,15.4542,15.9,BULLETIN-INGV,ML,'2-3,2.1,4 km NW Ricigliano (SA),earthquake
29339301,2021-12-27T19:21:33.000000,2021-12,37.7833,12.9888,14.1,BULLETIN-INGV,ML,'2-3,2.1,3 km NW Salaparuta (TP),earthquake
29340441,2021-12-28T02:16:09.310000,2021-12,38.7032,14.2247,8.6,BULLETIN-INGV,ML,'2-3,2.1,Tirreno Meridionale (MARE),earthquake
29340631,2021-12-28T04:01:46.300000,2021-12,42.8763,13.0723,11.4,BULLETIN-INGV,ML,'2-3,2,3 km E Preci (PG),earthquake
29341041,2021-12-28T06:51:03.210000,2021-12,45.6137,14.4832,10,BULLETIN-INGV,ML,'2-3,2,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",other event
